City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
134,tarawa,36.4768,44.4778,10.44,58,100,4.81,IQ,1707868399
135,kristiansund,63.2168,7.5453,2.36,55,40,3.09,NO,1707868400
136,dryden,42.4909,-76.2972,1.14,78,100,6.71,US,1707868400
137,itoman,26.106,127.6861,22.22,73,20,8.75,JP,1707868400
138,suai,-9.3097,125.2546,27.99,72,93,1.39,TL,1707868401
139,westport,41.1415,-73.3579,2.32,79,40,2.57,US,1707868110
140,weligama,5.9754,80.4291,23.59,87,97,2.07,LK,1707868401
141,turpan,42.94,89.184,0.81,41,0,1.38,CN,1707868402
142,cockburn town,21.4608,-71.14,25.54,79,2,2.86,TC,1707868402
143,tual,-5.639,132.7429,28.77,75,100,6.85,ID,1707868403
144,kruisfontein,-34.012,24.7433,18.33,95,27,4.75,ZA,1707868403
145,hola,-1.4977,40.0349,25.03,77,56,2.46,KE,1707868403
146,crane,31.3957,-102.3521,17.72,19,20,7.0,US,1707868404
147,codrington,51.5082,-2.3937,11.84,95,100,1.34,GB,1707868404
148,mount gambier,-37.8247,140.782,17.66,38,30,3.81,AU,1707868405
149,hilo,19.7074,-155.0816,27.32,69,20,4.63,US,1707868405
150,lompoc,34.6392,-120.4579,18.21,70,0,6.69,US,1707868405
151,nago,26.5915,127.9773,22.42,70,77,7.04,JP,1707868406
152,lihue,21.977,-159.3688,25.85,71,0,6.17,US,1707868406
153,kerikeri,-35.2273,173.9491,25.38,58,11,0.45,NZ,1707868355
154,punta arenas,-53.1626,-70.9078,16.16,51,75,6.17,CL,1707868407
155,allapalli,19.4298,80.0611,19.23,61,98,1.49,IN,1707868407
156,mikhaylovskoye,43.0975,44.6365,7.28,80,100,1.0,RU,1707868407
157,badger,42.6144,-94.1462,5.94,49,75,1.54,US,1707868408
158,port lincoln,-34.7212,135.8592,17.89,50,35,5.4,AU,1707868223
159,haderslev,55.2501,9.4998,6.25,93,100,5.14,DK,1707868409
160,barcelos,41.5314,-8.6192,16.62,97,100,1.78,PT,1707868409
161,stanley,-51.6951,-57.8492,13.19,82,93,8.05,FK,1707868409
162,xai-xai,-25.0445,33.6407,22.32,86,0,1.78,MZ,1707868410
163,trairi,-3.2777,-39.2681,25.26,89,86,2.71,BR,1707868410
164,kingston,17.9712,-76.7928,28.9,80,75,5.66,JM,1707868410
165,tamanrasset,22.7855,5.5324,15.9,21,0,2.57,DZ,1707868411
166,papatowai,-46.5619,169.4708,20.95,56,0,0.84,NZ,1707868411
167,wamba,41.6762,-4.9173,11.08,95,100,2.06,ES,1707868411
168,karatau,43.1762,70.4649,3.39,73,100,2.06,KZ,1707868412
169,hammerfest,70.6413,23.8361,-9.56,62,100,9.26,NO,1707868412
170,kazalinsk,45.7626,62.1012,3.4,59,97,2.71,KZ,1707868413
171,urengoy,65.9623,78.3719,-35.06,98,8,3.66,RU,1707868413
172,anta,-9.3577,-77.5985,15.86,90,98,0.95,PE,1707868413
173,sarupathar,26.1959,93.8636,14.24,68,41,0.24,IN,1707868414
174,karbala,32.6156,44.0348,17.39,56,100,6.74,IQ,1707868414
175,ballina,-28.8657,153.5659,27.66,58,9,1.69,AU,1707868414
176,toamasina,-18.1554,49.4098,24.99,100,75,4.12,MG,1707868415
177,erenhot,43.6408,111.9435,-14.17,81,64,3.04,CN,1707868415
178,ringkobing,56.0906,8.2541,5.59,94,93,5.1,DK,1707868415
179,magadan,59.5605,150.7989,-23.4,88,88,1.87,RU,1707868416
180,manta,44.6159,7.487,9.81,62,43,0.92,IT,1707868416
181,lensk,60.7145,114.9172,-24.15,95,100,3.15,RU,1707868416
182,kish,26.5361,53.9688,18.98,77,0,3.09,IR,1707868417
183,laguna,-28.4837,-48.7817,23.31,96,100,6.9,BR,1707868417
184,labrador city,52.9423,-66.9177,-7.05,98,100,7.6,CA,1707868417
185,itaituba,-4.2625,-55.9878,23.53,99,100,2.08,BR,1707868418
186,susuman,62.7797,148.1536,-40.79,99,89,0.32,RU,1707868418
187,vilyuchinsk,52.9318,158.4054,-17.83,69,17,1.68,RU,1707868418
188,murun-kuren,49.6285,100.1746,-23.97,88,36,1.17,MN,1707868419
189,korsakov,46.6328,142.781,1.83,85,65,8.0,RU,1707868419
190,tofol,5.326,163.0087,27.88,83,100,3.6,FM,1707868420
191,oranjemund,-28.5519,16.4284,17.1,94,69,4.47,NA,1707868420
192,liaoyuan,42.8864,125.1375,-1.73,82,100,2.67,CN,1707868420
193,harare,-17.8318,31.0457,14.73,62,0,1.33,ZW,1707868421
194,portland,45.5202,-122.6742,12.87,72,20,2.57,US,1707867668
195,kewanee,41.2456,-89.9248,7.14,60,37,1.69,US,1707868421
196,sao joao de pirabas,-0.7733,-47.1771,24.45,93,100,1.96,BR,1707868422
197,liaocheng,36.4442,115.9642,9.91,83,1,1.69,CN,1707868422
198,quellon,-43.12,-73.6203,13.97,63,5,4.09,CL,1707868422
199,ulsteinvik,62.3427,5.8469,6.51,76,58,6.15,NO,1707868423
