City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
133,fort mcmurray,56.7292,-111.3885,-11.23,92,75,3.6,CA,1707836553
134,invercargill,-46.4118,168.3471,10.33,93,2,1.63,NZ,1707836554
135,bijie,27.2859,105.2866,11.79,79,4,2.16,CN,1707836555
136,palmas,44.3998,2.8434,11.99,57,9,1.08,FR,1707836555
137,pibor,6.8011,33.1297,38.85,20,100,2.68,SS,1707836556
138,prieska,-29.6663,22.7444,38.41,12,39,9.16,ZA,1707836557
139,ulanhot,46.0708,122.0698,-4.91,50,100,3.85,CN,1707836557
140,east ballina,-28.8596,153.5833,20.36,91,21,1.08,AU,1707836558
141,bilibino,68.055,166.4449,-32.1,99,93,2.07,RU,1707836558
142,vilyuchinsk,52.9318,158.4054,-16.69,82,85,2.86,RU,1707836559
143,emerald,-23.5263,148.1619,23.5,93,100,4.06,AU,1707836559
144,khandyga,62.6478,135.5751,-36.93,100,100,0.43,RU,1707836559
145,mukah,2.893,112.0913,27.83,82,100,8.83,MY,1707836560
146,khorramabad,33.4842,48.3538,17.79,27,75,4.12,IR,1707836560
147,whitehorse,60.7216,-135.0549,-6.57,79,100,2.06,CA,1707836561
148,pyapon,16.1701,95.5452,24.18,62,17,2.65,MM,1707836561
149,vila franca do campo,37.7172,-25.4335,18.27,99,52,10.28,PT,1707836561
150,herbolzheim,48.2199,7.777,13.21,50,0,2.06,DE,1707836562
151,ketchikan,55.3431,-131.6467,0.75,76,11,3.27,US,1707836562
152,sorong,-0.8634,131.2545,27.27,80,54,3.93,ID,1707836563
153,dongola,19.1729,30.4732,30.71,5,0,3.26,SD,1707836563
154,bleckede,53.2865,10.7335,7.63,79,94,4.71,DE,1707836266
155,bayanaul,50.7929,75.7028,-9.61,66,100,5.15,KZ,1707836563
156,vorkuta,67.5036,64.0627,-31.83,97,11,2.55,RU,1707836564
157,am timan,11.0396,20.2826,38.13,7,22,3.03,TD,1707836564
158,georgetown,6.8137,-58.1624,26.16,62,25,4.58,GY,1707836565
159,hasaki,35.753,140.8201,9.22,58,0,3.07,JP,1707836565
160,kincardine,56.0684,-3.7185,8.99,74,72,3.67,GB,1707836566
161,ujae,8.932,165.7601,26.42,79,100,10.19,MH,1707836566
162,dickinson,46.8792,-102.7896,-2.52,91,100,6.8,US,1707836566
163,verdal,63.7862,11.9203,-9.65,81,100,6.46,NO,1707836567
164,cidreira,-30.1657,-50.2183,22.28,98,100,1.87,BR,1707836567
165,tura,47.39,0.6889,11.32,74,100,5.14,FR,1707836401
166,akhtubinsk,48.2878,46.1745,0.88,99,100,1.13,RU,1707836568
167,vila velha,-20.3297,-40.292,31.08,72,20,3.6,BR,1707836568
168,shar,24.3446,56.7425,22.18,74,22,2.79,OM,1707836569
169,nova vicosa,-17.8908,-39.3725,29.68,62,49,3.31,BR,1707836569
170,az zuwaytinah,30.9523,20.1179,15.84,74,14,7.24,LY,1707836570
171,tangalle,6.022,80.796,28.17,79,50,3.99,LK,1707836570
172,yangor,-0.5381,166.9115,27.95,82,100,5.16,NR,1707836570
173,biankouma,7.7383,-7.6128,38.43,16,0,3.23,CI,1707836571
174,alofi,-19.0534,-169.9192,27.28,78,100,5.66,NU,1707836571
175,the pas,53.8224,-101.2405,-8.97,86,75,3.6,CA,1707836571
176,kolokani,13.5773,-8.0313,39.35,4,12,4.53,ML,1707836572
177,banda aceh,5.5483,95.3238,26.51,82,12,5.43,ID,1707836501
178,cumaribo,4.4471,-69.7976,33.31,35,68,5.0,CO,1707836573
179,oroso,42.9868,-8.385,17.53,82,40,4.63,ES,1707836573
180,zaysan,47.4672,84.8719,-17.26,91,40,1.27,KZ,1707836573
181,xinyuan,43.4326,83.2277,-7.84,82,84,1.78,CN,1707836574
182,ar rutbah,33.0372,40.2859,16.25,49,100,6.83,IQ,1707836574
183,burutu,2.8098,19.4904,36.41,24,99,1.3,CD,1707836574
184,macau,22.1899,113.538,19.26,88,40,0.51,MO,1707836575
185,sishilichengzi,41.9618,86.4775,-2.08,65,94,0.87,CN,1707836575
186,askoy,60.5023,5.0948,2.17,94,100,8.27,NO,1707836576
187,mokhsogollokh,61.3979,128.9479,-25.14,94,100,3.56,RU,1707836576
188,qaqortoq,60.7182,-46.0385,0.02,98,100,5.02,GL,1707836576
189,udachny,66.4118,112.2517,-31.05,97,100,3.78,RU,1707836577
190,nema,16.6173,-7.2664,37.85,4,0,5.53,MR,1707836577
191,sitka,57.0525,-135.3376,0.2,76,11,2.17,US,1707836577
192,ghat,24.9626,10.1797,26.84,17,0,9.61,LY,1707836578
193,allapalli,19.4298,80.0611,25.55,33,100,1.98,IN,1707836579
194,soe,58.2119,25.9364,-0.55,95,100,5.5,EE,1707836579
195,luorong,24.4061,109.5973,17.15,82,100,1.28,CN,1707836580
196,sabang,5.8927,95.3226,28.33,78,0,9.32,ID,1707836580
197,touros,-5.1999,-35.4595,27.82,80,57,5.92,BR,1707836581
198,mossel bay,-34.1832,22.1536,26.06,49,55,6.26,ZA,1707836581
199,waingapu,-9.6522,120.2637,26.84,86,100,2.56,ID,1707836582
200,puerto natales,-51.7262,-72.506,20.32,49,100,11.32,CL,1707836582
201,trincomalee,8.5764,81.2345,24.02,96,37,2.49,LK,1707836226
202,labrador city,52.9423,-66.9177,-14.05,78,100,2.06,CA,1707836584
203,jennings,38.7192,-90.2611,5.99,69,20,3.09,US,1707836584
204,carnarvon,-24.8826,113.6576,25.31,74,0,10.0,AU,1707836585
205,salym,11.6612,78.1602,25.73,61,60,3.12,IN,1707836585
206,falmouth,50.1552,-5.0688,14.81,72,100,7.72,GB,1707836585
207,hadibu,12.6512,54.0237,25.37,77,65,6.39,YE,1707836586
208,ghadamis,30.1258,9.4901,20.53,24,3,6.61,LY,1707836586
209,awjilah,29.1403,21.2975,16.39,54,86,3.82,LY,1707836587
210,east london,-33.0192,27.8999,23.64,73,75,6.69,ZA,1707836513
211,nuku'alofa,-21.1343,-175.2018,27.19,83,100,7.2,TO,1707836587
212,port douglas,-16.4846,145.4636,26.82,83,49,1.73,AU,1707836588
213,margaret river,-33.9532,115.0769,16.54,61,47,7.45,AU,1707836588
214,tselinnoye,45.9041,34.1788,12.61,61,98,1.68,UA,1707836589
215,vadso,70.2267,29.7828,-12.01,85,75,5.14,NO,1707836589
216,point cook,-37.9065,144.7533,18.71,72,20,0.89,AU,1707836589
217,darnah,32.7594,22.6383,15.48,65,5,7.63,LY,1707836590
218,anadyr,64.7317,177.5061,-30.07,74,20,4.0,RU,1707836590
219,hamilton,43.2561,-79.8729,3.53,83,20,3.09,CA,1707836236
220,tabou,4.4194,-7.3604,30.55,67,20,3.34,CI,1707836591
221,afaahiti,-17.739,-149.29,26.51,90,100,10.11,PF,1707836591
222,kingston,17.9712,-76.7928,28.9,81,20,1.54,JM,1707836592
223,lieto,60.5055,22.4584,-4.81,75,100,8.75,FI,1707836593
224,gobabis,-22.4495,18.9725,31.54,26,31,4.95,NA,1707836593
225,nephi,39.7102,-111.8363,-0.7,69,16,1.44,US,1707836594
226,luganville,-15.5121,167.1784,25.74,86,12,2.45,VU,1707836594
227,ascope,-7.7138,-79.1075,22.63,67,40,2.6,PE,1707836594
228,ntcheu,-14.8179,34.6384,23.01,83,73,1.36,MW,1707836595
229,lalitpur,27.6499,85.3116,14.16,51,75,1.54,NP,1707836595
230,kermit,31.8579,-103.0932,4.3,60,0,0.0,US,1707836596
231,port macquarie,-31.4299,152.9104,19.35,92,0,1.41,AU,1707836596
232,santa marta,11.2321,-74.1951,31.6,65,20,1.54,CO,1707836596
233,rongelap,11.1629,166.8943,26.16,67,100,8.24,MH,1707836597
234,dinard,48.632,-2.058,13.56,88,100,7.72,FR,1707836597
235,manokwari,-0.8614,134.0767,26.32,81,42,0.87,ID,1707836598
236,la gi,10.6588,107.7731,25.35,73,38,5.76,VN,1707836598
237,smithers,54.7792,-127.1761,-6.82,100,100,2.06,CA,1707836599
238,arauco,-37.2462,-73.3176,15.58,69,2,1.59,CL,1707836599
239,rawatsar,29.2631,74.4016,15.56,25,55,1.81,IN,1707836600
240,mahdia,35.457,1.7415,16.46,57,5,5.22,DZ,1707836600
